vessel_id,SpeedOG,FOCDeviation,wind_speed,draft
1007,16.08,26.2,6.7,13.415
1007,15.85,30.5,6.7,13.42
1007,15.68,32.4,6.87,13.41
1007,15.39,40.1,6.87,13.41
1007,15.23,43.7,6.87,13.39
1007,15.3,43,6.87,13.43
1007,15.09,43,6.87,13.39
1007,14.84,51.9,6.87,13.38
1007,14.87,52.9,6.87,13.375
1007,15.03,50,6.87,13.41
1007,15.21,44,6.87,13.39
1007,15.16,42.3,6.87,13.4
1007,14.95,47.3,6.87,13.395
1007,14.94,51.1,6.87,13.4
1007,14.98,39.9,2.85,13.4
1007,14.81,43.4,2.85,13.41
1007,14.69,46.8,2.85,13.395
1007,14.62,53,2.85,13.385
1007,14.71,53.5,2.85,13.405
1007,14.57,57.6,2.85,13.395
1007,14.47,63,2.85,13.41
1007,14.63,56.7,2.85,13.405
1007,14.59,59.3,2.85,13.4
1007,14.62,63.8,2.85,13.39
1007,14.61,60.8,2.85,13.41
1007,14.56,60.2,2.85,13.405
1007,14.37,59.3,5.73,13.38
1007,14.4,57.3,5.73,13.405
1007,14.42,54.1,5.73,13.405
1007,14.3,56.8,5.73,13.38
1007,14.22,59.6,5.73,13.405
1007,14.33,58.9,5.73,13.36
1007,14.35,53.7,5.73,13.38
1007,14.4,52.2,5.73,13.375
1007,14.48,48.9,5.73,13.38
1007,14.44,50,5.73,13.385
1007,14.48,48.2,5.73,13.38
1007,14.55,47.1,5.73,13.36
1007,14.71,48.4,10.76,13.375
1007,14.62,46.7,10.76,13.405
1007,14.65,46.8,10.76,13.38
1007,14.79,43.3,10.76,13.395
1007,14.65,44.9,10.76,13.41
1007,14.62,48.4,10.76,13.385
1007,14.71,44,10.76,13.39
1007,14.78,44.9,10.76,13.37
1007,14.57,51.1,10.76,13.365
1007,14.64,51,10.76,13.38
1007,14.79,46.1,10.76,13.4
1007,14.65,51.2,10.76,13.36
1007,14.76,47.6,12.05,13.395
1007,14.64,49.8,12.05,13.395
1007,14.66,51.4,12.05,13.37
1007,14.89,44.9,12.05,13.385
1007,15.03,40.4,12.05,13.42
1007,14.83,56.2,12.05,13.385
1007,16.41,52.3,12.05,13.37
1007,16.67,40.8,12.05,13.385
1007,16.54,45.8,12.05,13.365
1007,16.28,48.4,12.05,13.365
1007,16.47,50.4,12.05,13.4
1007,16.69,37.2,12.05,13.415
1007,16.8,33.7,12.47,13.415
1007,16.56,37.4,12.47,13.395
1007,16.21,47.4,12.47,13.375
1007,17.48,30.1,10.08,10.895
1007,17.82,29.6,10.08,10.845
1007,17.97,28.8,10.08,10.835
1007,17.97,26.5,10.08,10.865
1007,17.92,26.5,10.08,10.8
1007,18.11,17,10.08,10.68
1007,18.29,13.2,10.08,10.685
1007,18.36,11.7,8.23,10.73
1007,17.98,11.4,11.41,10.705
1007,18.66,10.1,11.01,10.705
1007,18.58,13.1,11.01,10.7
1007,18.65,11.7,11.01,10.68
1007,18.68,10.3,11.01,10.705
1007,18.63,10.4,11.01,10.725
1007,18.53,22.5,10.33,10.735
1007,18.4,24.6,10.33,10.71
1007,18.38,25.5,10.33,10.705
1007,18.44,27.2,10.33,10.715
1007,18.31,26.4,10.33,10.705
1007,18.45,24.1,10.33,10.705
1007,18.68,18.7,10.33,10.71
1007,18.84,19.2,10.33,10.7
1007,19.16,19.4,10.33,10.705
1007,19.32,23.7,10.33,10.71
1007,19.72,21.3,10.33,10.685
1007,20.05,14.3,10.33,10.7
1007,20.06,11.2,8.34,10.725
1007,19.78,16,8.34,10.735
1007,20.07,10,8.34,10.73
1007,20.08,12,8.34,10.735
1007,20.12,10.7,8.34,10.71
1007,19.82,19.8,8.34,10.685
1007,19.94,18.4,8.34,10.72
1007,19.86,18.9,8.34,10.73
1007,19.85,18.4,8.34,10.71
1007,19.92,17.9,8.34,10.69
1007,19.92,19.1,7.13,10.715
1007,19.95,18.3,7.13,10.705
1007,19.85,19.7,7.13,10.715
1007,19.34,29.2,7.13,10.705
1007,19.65,27,7.13,10.69
1007,19.77,21.3,7.13,10.68
1007,19.45,28.4,7.13,10.68
1007,19.41,26.5,7.13,10.71
1007,19.51,27.9,7.13,10.705
1007,19.55,25,7.13,10.695
1007,19.39,29.9,7.13,10.7
1007,19.49,25.2,7.13,10.67
1007,18.71,12.1,6.75,10.69
1007,18.77,14.2,6.75,10.7
1007,18.86,13.4,7.49,10.7
1007,18.88,14,7.49,10.665
1007,18.84,14.8,7.49,10.68
1007,18.76,15,7.49,10.68
1007,18.9,14.8,7.49,10.685
1007,19.03,10.2,7.49,10.7
1007,19.05,11,7.49,10.67
1007,18.95,14.6,7.49,10.675
1007,19.03,13.1,7.49,10.715
1007,18.98,13.7,7.49,10.675
1007,19.03,11.5,7.49,10.72
1007,18.62,14.4,3.75,10.655
1007,18.78,12.6,3.75,10.67
1007,18.86,11.1,3.75,10.695
1007,18.95,9.8,3.75,10.68
1007,18.67,12.1,3.75,10.66
1007,18.03,25.6,3.75,10.675
1007,18.18,24.4,3.75,10.675
1007,18.1,26.1,3.75,10.685
1007,18.25,24,3.75,10.68
1007,18.29,24.9,2.25,10.69
